ID,Lat,Lon,Dep,OT,RMS,MinDist,Gap,NumPicks,Mag,DetectionTime,MatchedWith
us10007rnk,43.6625,-108.7881,12.77,1483679181,0.68,115.08165,51,0,3,1490658804,
nm60171771,34.178833,-92.491333,10.15,1484203379,0.17,46.544134,80,13,2.57,1491006370,
us10007u9j,39.0971,-107.253,5,1484884372,1.22,25.68489,36,0,2.8,1491964142,
us10007wad,39.5427,-107.5885,5,1485809197,0.59,66.60281,36,0,3.3,1493257118,
nm60175406,36.103,-89.452667,4.27,1486663551,0.19,3.459121,40,60,2.82,1494293072,
us20008k54,45.238,-67.9894,8.2,1487123404,0.58,33.69057,94,0,2.6,1494637400,
us20008ke8,33.5174,-87.3489,2.38,1487309219,0.6,62.15521,65,0,2.7,1494637402,
se60180296,37.702333,-77.8155,11.4,1489371095,0.13,29.532064,60,11,2.6,1496795617,
nm60181601,36.8795,-89.127833,12.22,1489933513,0.17,21.103862,55,63,3.16,1497296810,
us10008dxn,39.6644,-81.2434,3.93,1491134292,0.93,23.3499,46,0,3,1498202787,
se60185831,33.263333,-83.043167,9.54,1491442680,0.21,72.340214,75,12,2.51,1498202793,
se60185841,33.2605,-83.04,11.16,1491443353,0.22,72.05112,66,20,2.72,1498202793,
us10008fp3,39.7521,-98.1289,13.42,1491595716,0.39,123.64328,59,0,3.3,1498202795,
us10008j7c,40.676,-107.8827,13.3,1492681497,0.8,67.38114,41,0,3.5,1499737718,
se60036903,33.5525,-82.1045,8.23,1492756868,0.17,50.680402,78,12,2.52,1499737719,
uu60194797,40.112667,-108.839667,7.33,1492883321,0.16,51.047329,96,15,3.75,1508862471,
uu60195217,40.1255,-108.8315,3.81,1493284293,0.15,50.302356,139,14,2.63,1500604328,
se60193886,37.277167,-80.841,4.13,1494563470,0.12,38.02698,67,17,2.75,1501628550,
mb80209879,45.29,-106.441667,2.98,1495177387,0.14,156.44433,144,6,2.71,1495222990,
us10008uvu,39.2296,-82.4759,10,1495643045,0.56,34.69128,17,0,3.4,1502933882,
se60195656,34.6145,-85.132333,9.9,1495713920,0.14,9.159832,53,28,2.5,1502328841,
se60197121,34.415667,-85.566333,13.19,1496412516,0.12,14.387986,147,16,2.58,1502764011,
us20009kfw,39.9166,-81.2934,1.73,1496459320,0.59,37.58222,23,0,3.4,1513655102,
nm60197956,36.376,-92.9895,5.87,1497184825,0.15,12.397685,85,24,3.6,1503098002,
us20009lxq,39.7383,-98.1154,5,1497267167,0.56,124.42161,60,0,3.7,1503098004,
nm60171697,36.373833,-92.995,5.66,1497580108,0.1,12.842445,85,21,2.89,1503098009,
us20009n8v,37.0349,-104.8975,2.16,1497681728,0.72,14.00994,33,0,3.5,1503098011,
us20009nja,39.7851,-98.2307,5,1497855757,0.66,124.75518,59,0,2.9,1503506144,
nm60172172,36.075,-89.803,8.59,1497871619,0.14,6.78259,38,64,2.68,1503506144,
se60172262,33.4275,-82.016833,12.93,1497971645,0.19,38.58293,46,25,3.2,1515541027,
se60172362,38.1995,-81.3985,16.61,1498032093,0.38,45.03195,70,17,2.7,1513275450,
nm60173557,38.85,-89.2275,16.79,1498932452,0.16,19.213632,88,23,3.12,1506477801,
us100095ul,29.0542,-97.9082,5.45,1498986047,0.52,24.01704,105,0,3,1506991664,
ld60138006,43.433,-78.589333,5,1499754466,0.35,18.257398,108,13,2.52,1518670342,
nm60202956,35.792667,-92.251667,6.83,1500762213,0.23,15.800099,69,29,2.65,1507683843,
us2000a2lh,38.0255,-98.0035,3.6,1501373625,0.22,75.94277,54,0,3,1508291649,
us2000a5at,37.0254,-104.9319,5.29,1501990833,0.75,17.01207,29,0,2.9,1508891879,
se60204051,35.403333,-84.624833,15.39,1502107449,0.15,10.677576,65,26,2.5,1508891881,
us2000a7sv,32.8843,-100.8946,4.67,1502635540,0.66,2.55737,48,0,2.7,1510623725,
us2000a9gb,44.8394,-99.9628,5,1502758534,0.69,91.28699,121,0,3,1510623728,
us2000ade7,37.5587,-97.7708,4.68,1504164077,0.36,31.57796,69,0,3.4,1511894034,
us2000adjp,39.7121,-97.9069,5,1504200105,0.26,21.34848,65,0,2.6,1511894035,
us2000afst,37.58,-97.77,4.06,1504575173,0.21,33.91295,84,0,2.8,1512676812,
us2000agcu,32.8313,-100.924,1.49,1504647462,0.4,4.55879,41,0,2.5,1512676814,
us2000ahub,36.6996,-97.683,6.073,1504837584,1.24,0,49,0,4.3,1512676819,
us2000ahxh,36.9956,-104.9507,6.27,1504853615,0.45,18.9023,93,0,3.6,1512676821,
nm60179177,38.425,-87.913,11.76,1504930529,0.17,11.474808,37,32,3.06,1514562162,
se60179327,37.472833,-80.703,17.77,1505323991,0.16,38.349431,48,20,3.2,1513132182,
us2000amr0,31.1684,-103.2947,5,1505419914,0.69,58.81951,55,0,3.2,1513132184,
nm60206976,36.103833,-89.764167,7.78,1505708311,0.22,5.877503,57,33,2.5,1513648443,
nm60207021,38.423833,-87.909833,11.68,1505821649,0.18,11.207952,31,36,3.8,1514826073,
us2000awh2,35.817,-105.3304,5,1506684952,1.01,116.52712,101,0,3.1,1513979788,
us2000axzc,35.6629,-102.2584,5,1506974102,0.58,101.07171,123,0,2.7,1514944483,
us2000b2ab,32.7671,-108.8874,5,1507324396,0.72,30.24368,85,0,2.6,1514944488,
se60181532,34.747833,-85.915667,5.02,1508513891,0.2,36.214583,76,20,2.72,1515637329,
us1000avcx,31.1485,-103.2981,1.2,1508622635,0.22,55.26143,74,0,3.1,1515637331,
se60046013,35.77,-82.209333,13.8,1508652865,0.16,7.841119,80,12,2.5,1516225829,
us1000ay6s,39.6652,-97.927,6.9,1509231068,0.48,19.12468,49,0,2.5,1516225838,
us2000bjji,43.5685,-107.3899,5,1509446512,1.11,123.97685,69,0,2.6,1516757100,
us1000az7z,43.5212,-107.457,15.32,1509474248,1.05,122.97614,114,0,3.2,1516757101,
us2000bi6d,43.5195,-107.3869,16.92,1509750672,0.74,119.41806,63,0,4,1516757108,
us2000bn5j,28.5903,-97.5701,5,1510649641,1.4,37.35984,259,0,2.7,1517885133,
us2000bty0,37.8287,-84.7246,18.6,1511487614,0.6,29.91011,75,0,2.6,1518573673,
us2000burs,31.107,-103.5266,5,1511768892,0.76,43.58648,87,0,2.6,1519117564,
us2000bvd7,32.944,-100.8859,4.48,1511878791,0.44,9.11758,54,0,2.6,1519117566,
se60211721,36.318667,-83.709167,18.63,1512022593,0.2,20.959315,55,29,2.68,1519117568,
us1000bjkn,39.1977,-75.4325,9.87,1512078451,1.3,70.38327,129,0,4.1,1519117569,
us1000bjln,38.4051,-105.7807,5,1512080249,0.81,77.16586,53,0,3.6,1519117569,
us1000bjyq,34.2964,-106.802,7.03,1512148320,0.91,26.90798,48,0,3.8,1519117570,
us2000c2i8,37.8016,-108.1022,5,1512872790,0.37,75.16444,97,0,2.7,1515041563,
us2000c2im,37.7155,-108.1605,5,1512875367,0.96,64.26782,85,0,2.9,1515041598,
us2000c2iq,37.807,-108.1112,5,1512876428,0.77,75.27563,96,0,2.5,1515041636,
us2000c2iw,37.8081,-108.1057,5,1512877322,0.52,75.6092,44,0,3.1,1515041706,
us2000c391,34.1015,-107.0968,5,1513063507,0.97,16.45612,60,0,2.9,1513948303,
us2000c4sj,31.1384,-103.2814,5,1513331621,0.81,54.26072,60,0,3.3,1516432758,
us2000c5el,38.6785,-83.8958,13.64,1513487316,1.07,30.79963,134,0,2.8,1516278184,
us2000c5cs,31.0622,-103.368,1.2,1513488435,0.49,58.48594,64,0,3,1516282115,
us1000bsxn,31.1528,-103.2616,5,1513659577,0.77,51.92573,54,0,2.5,1516665486,
us1000bt2p,34.9544,-97.8208,6.366,1513693984,0.47,0,50,0,3,1515016933,
se60185112,34.657,-86.114333,8.49,1513814104,0.2,47.956247,51,25,2.69,1514878125,
us1000bwx0,31.1834,-103.3311,5,1514418638,0.68,55.03905,57,0,2.7,1515810291,
us1000byd4,37.2734,-104.8631,4,1514677572,0.51,18.23516,31,0,4,1516258106,
us1000bz0l,31.2152,-103.5657,5,1514900573,0.31,33.357,67,0,3.3,1514967821,
us1000c1f3,42.2208,-104.7451,5,1515248367,1.22,118.08378,106,0,3.1,1518804391,
us1000c1fk,28.8637,-98.1782,5,1515253037,0.94,35.24723,78,0,3.5,1517767264,
se60185807,34.955167,-85.192,10.88,1515318800,0.09,14.432462,51,29,2.69,1519273146,
us1000c2ri,29.039,-97.8885,5,1515528843,0.4,21.79324,150,0,2.8,1518129340,
us2000ci3i,37.2941,-104.908,5,1515651091,0.73,47.36694,66,0,2.8,1519285944,
us2000cj69,35.6711,-97.4005,6.396,1515805448,0.51,0,24,0,3.6,1519187818,
us2000cjxf,28.8275,-98.1512,13.12,1516105819,0.58,33.57938,85,0,2.9,1518289237,
nm60186242,36.163167,-89.686,9.42,1516121875,0.13,5.001326,36,73,3.64,1519571265,
us2000ckk1,44.0913,-69.7528,8.52,1516232820,0.55,53.03763,120,0,2.7,1519174882,
us2000cm4q,37.7582,-84.663,11.14,1516509444,1.24,33.80176,107,0,2.6,1517466199,
us2000cm4e,34.6633,-97.4951,4.677,1516539964,0.34,0,46,0,2.5,1517516766,
us2000cnr4,34.6754,-97.5007,5.753,1516805693,0.54,0,70,0,2.7,1517993072,
us2000cp8r,32.8505,-100.9153,5.2,1516886902,0.34,2.66856,51,0,3,1519408004,
us2000cpsx,39.4405,-81.7052,11.2,1516954848,0.43,27.57512,43,0,2.5,1518265397,
us2000cqqu,36.803,-104.9686,5,1517174597,0.28,7.56092,67,0,3.1,1519615859,
us1000cdl2,36.9368,-104.8158,2.92,1517471651,0.68,15.45541,90,0,2.7,1518861309,
mb80279969,43.568667,-108.696667,10,1517670148,0.25,113.4138,233,9,2.5,1517861989,
us1000cflq,34.6722,-97.4959,4.425,1517737176,0.52,0,51,0,3.2,1518856750,
us1000cib0,36.0403,-97.8983,3.648,1518019975,0.43,0,24,0,3.2,1518843448,
us2000d0n2,31.1611,-103.2958,5,1518385146,0.81,54.59429,76,0,2.9,1518385854,
us2000d0p0,31.0777,-104.7328,5,1518390865,1.08,40.25078,78,0,2.4,1519604754,
us2000d0xm,28.9484,-97.9663,5,1518445491,0.4,18.45754,120,0,3.1,1519583039,
us2000d2ip,35.7805,-98.5783,6.21,1518676680,0.25,17.90159,79,0,2.5,1518678305,
us2000d2m8,42.9209,-71.012,6.25,1518704936,0.48,22.46038,126,0,2.7,1519321544,